time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 19:00:36 2024,0,237,[Range],69.800,-0.500,-39.960,-1.800,1,b4w,24.000
Fri Mar 15 19:00:41 2024,0,242,[Range],69.800,2.600,-53.640,-1.080,0,b4w,4.000
Fri Mar 15 19:00:51 2024,0,247,[Speed],78.800,-0.400,-82.800,0.000,1,b4w,4.000
Fri Mar 15 19:00:52 2024,0,247,[Range],69.400,-0.400,-82.800,0.000,1,b4w,7.000
Fri Mar 15 19:01:01 2024,0,232,[Range],69.500,-0.100,-74.520,0.000,1,b4w,8.000
Fri Mar 15 19:01:39 2024,0,1,[Range],69.900,0.200,-67.680,-0.720,1,b4w,15.000
Fri Mar 15 19:01:46 2024,0,245,[Range],69.200,-0.100,-56.520,-0.720,1,b4w,21.000
Fri Mar 15 19:01:54 2024,0,246,[Range],69.900,2.900,-45.360,0.000,0,b4w,24.000
Fri Mar 15 19:01:54 2024,0,248,[Range],69.900,2.100,-46.080,-0.360,0,b4w,26.000
Fri Mar 15 19:01:55 2024,0,4,[Range],69.600,-2.700,-34.560,0.000,1,b4w,28.000
Fri Mar 15 19:01:56 2024,0,2,[Range],69.500,0.800,-57.960,-2.160,0,b4w,21.000
Fri Mar 15 19:01:57 2024,0,3,[Range],69.700,0.000,-59.400,0.000,1,b4w,2.000
Fri Mar 15 19:01:57 2024,0,10,[Range],69.300,0.700,-70.200,0.000,0,b4w,2.000
Fri Mar 15 19:01:59 2024,0,7,[Range],69.500,-4.000,-38.880,0.000,1,b4w,1.000
Fri Mar 15 19:02:05 2024,0,6,[Range],69.900,-0.600,-55.080,0.000,1,b4w,5.000
Fri Mar 15 19:02:20 2024,0,0,[Range],69.600,1.700,-56.520,-3.240,0,b4w,28.000
Fri Mar 15 19:02:21 2024,0,17,[Range],69.300,0.800,-57.600,0.000,0,b4w,1.000
Fri Mar 15 19:02:26 2024,0,5,[Range],69.500,-0.900,-42.120,-1.440,1,b4w,23.000
Fri Mar 15 19:02:30 2024,0,11,[Range],69.700,-0.700,-37.440,-1.800,1,b4w,23.000
Fri Mar 15 19:02:38 2024,0,12,[Range],69.500,-0.600,-45.000,-2.160,1,b4w,20.000
Fri Mar 15 19:02:54 2024,0,8,[Range],69.900,2.600,-62.640,-1.080,0,b4w,27.000
Fri Mar 15 19:03:22 2024,0,14,[Range],69.200,-0.500,-68.400,0.000,1,b4w,8.000
Fri Mar 15 19:03:29 2024,0,15,[Range],69.700,2.300,-50.040,-1.800,0,b4w,20.000
Fri Mar 15 19:03:35 2024,0,19,[Range],69.900,-0.800,-41.400,-2.520,1,b4w,8.000
Fri Mar 15 19:03:36 2024,0,16,[Range],69.700,0.500,-41.400,0.000,0,b4w,41.000
Fri Mar 15 19:03:45 2024,0,31,[Range],69.500,-0.300,-43.920,-1.080,1,b4w,24.000
Fri Mar 15 19:04:43 2024,0,29,[Range],69.900,-0.700,-74.160,0.000,1,b4w,4.000
Fri Mar 15 19:04:51 2024,0,22,[Range],69.600,2.200,-47.160,-2.880,0,b4w,25.000
Fri Mar 15 19:06:05 2024,0,28,[Speed],99.000,0.100,-81.720,0.000,1,undef,4.000
Fri Mar 15 19:06:07 2024,0,28,[Range],69.900,-0.100,-79.560,0.000,1,b4w,7.000
Fri Mar 15 19:06:08 2024,0,40,[Range],69.500,1.900,-54.000,-2.880,0,b4w,21.000
Fri Mar 15 19:06:51 2024,0,25,[Range],69.300,0.400,-61.920,-0.360,1,b4w,2.000
Fri Mar 15 19:07:33 2024,0,33,[Range],69.800,-0.200,-49.680,1.800,1,b4w,37.000
Fri Mar 15 19:07:46 2024,0,43,[Range],69.100,2.500,-69.840,-1.080,0,b4w,17.000
Fri Mar 15 19:07:57 2024,0,37,[Range],69.900,-1.200,-47.520,0.000,1,b4w,5.000
Fri Mar 15 19:08:39 2024,0,42,[Range],69.300,-0.200,-56.160,-0.360,1,b4w,27.000
Fri Mar 15 19:08:48 2024,0,39,[Range],69.600,2.400,-66.960,-1.440,0,b4w,52.000
